90	0.12
89	0.12
88	0.119
87	0.119
86	0.119
85	0.119
84	0.118
83	0.118
82	0.118
81	0.117
80	0.117
79	0.116
78	0.116
77	0.116
76	0.115
75	0.115
74	0.114
73	0.114
72	0.113
71	0.113
70	0.113
69	0.112
68	0.111
67	0.111
66	0.11
65	0.11
64	0.109
63	0.109
62	0.108
61	0.107
60	0.107
59	0.106
58	0.105
57	0.105
56	0.104
55	0.103
54	0.102
53	0.102
52	0.101
51	0.1
50	0.099
49	0.098
48	0.097
47	0.096
46	0.094
45	0.093
44	0.092
43	0.09
42	0.089
41	0.088
40	0.086
35	0.077
30	0.067
25	0.057
20	0.046
15	0.037
10	0.029
5	0.02
0	0.003
